,id,nome,microrregiao.id,microrregiao.nome,microrregiao.mesorregiao.id,microrregiao.mesorregiao.nome,microrregiao.mesorregiao.UF.id,microrregiao.mesorregiao.UF.sigla,microrregiao.mesorregiao.UF.nome,microrregiao.mesorregiao.UF.regiao.id,microrregiao.mesorregiao.UF.regiao.sigla,microrregiao.mesorregiao.UF.regiao.nome,regiao-imediata.id,regiao-imediata.nome,regiao-imediata.regiao-intermediaria.id,regiao-imediata.regiao-intermediaria.nome,regiao-imediata.regiao-intermediaria.UF.id,regiao-imediata.regiao-intermediaria.UF.sigla,regiao-imediata.regiao-intermediaria.UF.nome,regiao-imediata.regiao-intermediaria.UF.regiao.id,regiao-imediata.regiao-intermediaria.UF.regiao.sigla,regiao-imediata.regiao-intermediaria.UF.regiao.nome
0,3300100,Angra dos Reis,33013,Baía da Ilha Grande,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330002,Angra dos Reis,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
1,3300159,Aperibé,33002,Santo Antônio de Pádua,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330012,Santo Antônio de Pádua,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
2,3300209,Araruama,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
3,3300225,Areal,33005,Três Rios,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330007,Petrópolis,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
4,3300233,Armação dos Búzios,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
5,3300258,Arraial do Cabo,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
6,3300308,Barra do Piraí,33012,Barra do Piraí,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
7,3300407,Barra Mansa,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
8,3300456,Belford Roxo,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
9,3300506,Bom Jardim,33007,Nova Friburgo,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
10,3300605,Bom Jesus do Itabapoana,33001,Itaperuna,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330011,Itaperuna,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
11,3300704,Cabo Frio,33010,Lagos,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330013,Cabo Frio,3305,Macaé - Rio das Ostras - Cabo Frio,33,RJ,Rio de Janeiro,3,SE,Sudeste
12,3300803,Cachoeiras de Macacu,33016,Macacu-Caceribu,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330003,Rio Bonito,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
13,3300902,Cambuci,33002,Santo Antônio de Pádua,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330012,Santo Antônio de Pádua,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
